# target=gj3929b eclipse=4 centroid=(62,68) aper_r=4 n=4617
# BJD_TDB    relative_flux
2.461081874591751955e+06 9.945834279060363770e-01
2.461081874657890759e+06 9.991573691368103027e-01
2.461081874724030029e+06 1.001179099082946777e+00
2.461081874790168833e+06 1.001466989517211914e+00
2.461081874856307637e+06 1.003106951713562012e+00
2.461081874922446441e+06 1.000674486160278320e+00
2.461081874988585711e+06 1.002392053604125977e+00
2.461081875054724514e+06 1.002045989036560059e+00
2.461081875120863318e+06 1.002820730209350586e+00
2.461081875187002122e+06 1.001172542572021484e+00
2.461081875253141392e+06 1.001816272735595703e+00
2.461081875319280196e+06 1.002935528755187988e+00
2.461081875385419000e+06 1.002602338790893555e+00
2.461081875451557804e+06 1.002123594284057617e+00
2.461081875517696608e+06 1.002840042114257812e+00
2.461081875583835877e+06 1.002735018730163574e+00
2.461081875649974681e+06 1.001955389976501465e+00
2.461081875716113485e+06 1.001392602920532227e+00
2.461081875782252289e+06 1.002000689506530762e+00
2.461081875848391559e+06 1.002257823944091797e+00
2.461081875914530363e+06 1.001415252685546875e+00
2.461081875980669167e+06 1.001876115798950195e+00
2.461081876046807971e+06 1.001433014869689941e+00
2.461081876112947240e+06 1.000655055046081543e+00
2.461081876179086044e+06 1.002901554107666016e+00
2.461081876245224848e+06 1.002537608146667480e+00
2.461081876311363652e+06 1.002984046936035156e+00
2.461081876377502922e+06 1.003545284271240234e+00
2.461081876443641726e+06 1.001958608627319336e+00
2.461081876509780530e+06 1.002663850784301758e+00
2.461081876575919334e+06 1.002084732055664062e+00
2.461081876642058603e+06 1.002151131629943848e+00
2.461081876708197407e+06 1.002458453178405762e+00
2.461081876774336211e+06 1.002508521080017090e+00
2.461081876840475015e+06 1.002193093299865723e+00
2.461081876906614285e+06 1.002340316772460938e+00
2.461081876972753089e+06 1.001508951187133789e+00
2.461081877038891893e+06 1.002100944519042969e+00
2.461081877105030697e+06 1.002202868461608887e+00
2.461081877171169966e+06 1.002833604812622070e+00
2.461081877237308770e+06 1.002328991889953613e+00
2.461081877303447574e+06 1.002333879470825195e+00
2.461081877369586378e+06 1.002024888992309570e+00
2.461081877435725648e+06 1.002288579940795898e+00
2.461081877501864452e+06 1.002746343612670898e+00
2.461081877568003256e+06 1.003244400024414062e+00
2.461081877634142060e+06 1.002932310104370117e+00
2.461081877700281329e+06 1.001567244529724121e+00
2.461081877766420133e+06 1.001986145973205566e+00
2.461081877832558937e+06 1.002836823463439941e+00
2.461081877898697741e+06 1.002096056938171387e+00
2.461081877964836545e+06 1.000933170318603516e+00
2.461081878030975815e+06 1.001253485679626465e+00
2.461081878097114619e+06 1.002971053123474121e+00
2.461081878163253423e+06 1.001780748367309570e+00
2.461081878229392227e+06 1.001583456993103027e+00
2.461081878295531496e+06 1.001586675643920898e+00
2.461081878361670300e+06 1.002063751220703125e+00
2.461081878427809104e+06 1.002969503402709961e+00
2.461081878493947908e+06 1.001093387603759766e+00
2.461081878560087178e+06 1.002071857452392578e+00
2.461081878626225982e+06 1.001813054084777832e+00
2.461081878692364786e+06 1.001903653144836426e+00
2.461081878758503590e+06 1.002390503883361816e+00
2.461081878824642859e+06 1.001661062240600586e+00
2.461081878890781663e+06 1.002833604812622070e+00
2.461081878956920467e+06 1.002322554588317871e+00
2.461081879023059271e+06 1.002570033073425293e+00
2.461081879089198541e+06 1.002026557922363281e+00
2.461081879155337345e+06 1.002400159835815430e+00
2.461081879221476149e+06 1.002361416816711426e+00
2.461081879287614953e+06 1.002151131629943848e+00
2.461081879353754222e+06 1.002773761749267578e+00
2.461081879419893026e+06 1.001826047897338867e+00
2.461081879486031830e+06 1.003647208213806152e+00
2.461081879552170634e+06 1.001722455024719238e+00
2.461081879618309904e+06 1.002980828285217285e+00
2.461081879684448708e+06 1.002377510070800781e+00
2.461081879750587512e+06 1.001625418663024902e+00
2.461081879816726316e+06 1.001143455505371094e+00
2.461081879882865585e+06 1.000454425811767578e+00
2.461081879949004389e+06 1.001795291900634766e+00
2.461081880015143193e+06 1.001898765563964844e+00
2.461081880081281997e+06 1.001876115798950195e+00
2.461081880147421267e+06 1.001703143119812012e+00
2.461081880213560071e+06 1.001641631126403809e+00
2.461081880279698875e+06 1.002084732055664062e+00
2.461081880345837679e+06 1.002925872802734375e+00
2.461081880411976948e+06 1.001130580902099609e+00
2.461081880478115752e+06 1.001479864120483398e+00
2.461081880544254556e+06 1.002248167991638184e+00
2.461081880610393360e+06 1.001035094261169434e+00
2.461081880676532164e+06 1.002214193344116211e+00
2.461081880742671434e+06 1.001497626304626465e+00
2.461081880808810238e+06 1.002781867980957031e+00
2.461081880874949042e+06 1.000868558883666992e+00
2.461081880941087846e+06 1.002191543579101562e+00
2.461081881007227115e+06 1.002697825431823730e+00
2.461081881073365919e+06 1.001719236373901367e+00
2.461081881139504723e+06 1.001470208168029785e+00
2.461081881205643527e+06 1.001481533050537109e+00
2.461081881271782797e+06 1.001390933990478516e+00
2.461081881337921601e+06 1.002624988555908203e+00
2.461081881404060405e+06 1.002345204353332520e+00
2.461081881470199209e+06 1.002005577087402344e+00
2.461081881536338478e+06 1.001686930656433105e+00
2.461081881602477282e+06 1.001901984214782715e+00
2.461081881668616086e+06 1.001796841621398926e+00
2.461081881734754890e+06 1.002005577087402344e+00
2.461081881800894160e+06 1.002054095268249512e+00
2.461081881867032964e+06 1.002125263214111328e+00
